path,type,size,parent_directory
E:\GB\A-B test\gb_sem_ab_testing-master\gb_sem_8.ipynb,file,6436502,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\gb_sem_9.ipynb,file,12899,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master\README.md,file,38,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\gb_sem_ab_testing-master,directory,14046703,E:\GB\A-B test
E:\GB\A-B test\gb_sem_ab_testing-master\data\gb_sem_8_cw.csv,file,592615,E:\GB\A-B test\gb_sem_ab_testing-master\data
E:\GB\A-B test\gb_sem_ab_testing-master\data\gb_sem_8_hm.xlsx,file,189478,E:\GB\A-B test\gb_sem_ab_testing-master\data
E:\GB\A-B test\gb_sem_ab_testing-master\data\gb_sem_9_cw.csv,file,10306837,E:\GB\A-B test\gb_sem_ab_testing-master\data
E:\GB\A-B test\gb_sem_ab_testing-master\data\gb_sem_9_hw.csv,file,2707297,E:\GB\A-B test\gb_sem_ab_testing-master\data
E:\GB\A-B test\gb_sem_ab_testing-master\data,directory,13796227,E:\GB\A-B test\gb_sem_ab_testing-master
E:\GB\A-B test\Lec1\2023-03-03_17_00_45.mp4,file,401707138,E:\GB\A-B test\Lec1
E:\GB\A-B test\Lec1\Урок 1  .pptx,file,17623883,E:\GB\A-B test\Lec1
E:\GB\A-B test\Lec1\Урок 1 A_B тестирование.docx,file,3182821,E:\GB\A-B test\Lec1
E:\GB\A-B test\Lec1,directory,422513842,E:\GB\A-B test
E:\GB\A-B test\sem5\005.ipynb,file,2716,E:\GB\A-B test\sem5
E:\GB\A-B test\sem5,directory,2716,E:\GB\A-B test
E:\GB\BI\izuchaem-power-query (1).pdf,file,64989685,E:\GB\BI
E:\GB\BI\PBIDesktopSetup_x64.exe,file,486069016,E:\GB\BI
E:\GB\BI\Снимок.PNG,file,168410,E:\GB\BI
E:\GB\BI,directory,551227111,E:\GB
E:\GB\BI\2\2023-05-23_16_51_36.mp4,file,309721509,E:\GB\BI\2
E:\GB\BI\2\GeekBrains_Кейс_Мажор-Авто заменить export_format=xlsx.xlsx,file,16431232,E:\GB\BI\2
E:\GB\BI\2\hw2.pbix,file,1737421,E:\GB\BI\2
E:\GB\BI\2\hw2.pdf,file,118995,E:\GB\BI\2
E:\GB\BI\2\выбор диаграммы.jpg,file,363892,E:\GB\BI\2
E:\GB\BI\2\Семинар 2.pptx,file,4301703,E:\GB\BI\2
E:\GB\BI\2,directory,332674752,E:\GB\BI
E:\GB\BI\3\2023-05-26_16_54_39.mp4,file,334373187,E:\GB\BI\3
E:\GB\BI\3\hw3.pbix,file,1740623,E:\GB\BI\3
E:\GB\BI\3\hw3.pdf,file,1389697,E:\GB\BI\3
E:\GB\BI\3\Task03.pbix,file,1745823,E:\GB\BI\3
E:\GB\BI\3\Семинар 3 Дашборд.pptx,file,4622092,E:\GB\BI\3
E:\GB\BI\3\Семинар 3.pptx,file,4319864,E:\GB\BI\3
E:\GB\BI\3,directory,348191286,E:\GB\BI
E:\GB\BI\4\2023-05-30_16_50_22.mp4,file,348843156,E:\GB\BI\4
E:\GB\BI\4\hw4.pbix,file,3679516,E:\GB\BI\4
E:\GB\BI\4\hw4.pdf,file,343176,E:\GB\BI\4
E:\GB\BI\4\Task04.pbix,file,2953569,E:\GB\BI\4
E:\GB\BI\4\Task1.pbix,file,2487721,E:\GB\BI\4
E:\GB\BI\4\данные из crm.xlsx,file,8532470,E:\GB\BI\4
E:\GB\BI\4\Семинар 4.pptx,file,17371122,E:\GB\BI\4
E:\GB\BI\4,directory,384210730,E:\GB\BI
E:\GB\BI\5\hw5.pbix,file,3356574,E:\GB\BI\5
E:\GB\BI\5\hw5.pdf,file,1077489,E:\GB\BI\5
E:\GB\BI\5\Task05.pbix,file,2632675,E:\GB\BI\5
E:\GB\BI\5\Task1 (1).pbix,file,3249192,E:\GB\BI\5
E:\GB\BI\5,directory,10315930,E:\GB\BI
